Carimbo de data/hora,Gênero,Frio,Temperatura Considerada,Chuva,Distância,Tempo Gasto,Selecionar Turno,Impacto do Turno,interesse,Cansaço,Ambiente,Compromissos
2025/06/23 8:24:14 PM GMT-3,Masculino,1,Abaixo de 5 °C,4,0,Menor que 1 hora e 30 minutos,Noite,0,0,0,5,2
2025/06/23 9:11:15 PM GMT-3,Masculino,0,Abaixo de 5 °C,2,0,Menor que 1 hora e 30 minutos,Noite,0,5,5,2,5
2025/06/23 9:48:35 PM GMT-3,Feminino,3,Abaixo de 5 °C,5,5,Menor que 1 hora e 30 minutos,Tarde,1,2,5,1,5
2025/06/23 9:51:06 PM GMT-3,Feminino,5,Abaixo de 10 °C,4,5,Maior que 1 hora e 30 minutos,Manhã;Tarde,4,1,5,3,5
2025/06/23 9:54:44 PM GMT-3,Feminino,5,Abaixo de 5 °C,5,3,Menor que 1 hora,Noite,2,2,5,2,5
2025/06/23 10:07:03 PM GMT-3,Feminino,4,Abaixo de 10 °C,3,2,Menor que 30 minutos,Noite,4,3,3,4,4
2025/06/23 10:07:25 PM GMT-3,Feminino,3,Abaixo de 10 °C,3,0,,Manhã,0,0,0,0,0
2025/06/23 10:07:32 PM GMT-3,Feminino,5,Abaixo de 10 °C,5,4,Menor que 1 hora e 30 minutos,Manhã,2,4,5,2,5
2025/06/23 10:07:33 PM GMT-3,Feminino,4,Abaixo de 10 °C,3,3,Menor que 1 hora,Noite,4,2,4,4,5
2025/06/23 10:08:08 PM GMT-3,Feminino,4,Abaixo de 15 °C,4,3,Menor que 30 minutos,Noite,2,4,3,4,1
2025/06/23 10:08:38 PM GMT-3,Feminino,4,Abaixo de 10 °C,2,1,Menor que 10 minutos,Noite,2,4,4,3,4
2025/06/23 10:09:09 PM GMT-3,Feminino,4,Abaixo de 5 °C,4,5,Menor que 30 minutos,Manhã,1,4,3,4,5
2025/06/23 10:09:30 PM GMT-3,Feminino,1,Abaixo de 0 °C,2,2,Menor que 30 minutos,Noite,2,0,3,1,1
2025/06/23 10:14:29 PM GMT-3,Feminino,5,Abaixo de 5 °C,3,5,Menor que 1 hora e 30 minutos,Manhã,3,0,5,3,0
2025/06/23 10:53:44 PM GMT-3,Feminino,1,,1,0,,Tarde;Noite,1,2,2,2,0
